               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041841,            0.013609,            0.084159,             0.59756,             0.17363,             0.11731,            0.080788,            0.022931,           0.0036211,              0.0703,            0.070024,           0.0033306,           0.0033306
                   1,             0.02558,           0.0091035,            0.062836,             0.62425,             0.38367,             0.23446,             0.19126,            0.012663,             0.00312,            0.050674,            0.039365,           0.0060042,           0.0060042
                   2,            0.023071,           0.0083758,            0.050946,             0.62128,             0.56091,             0.44843,             0.34889,            0.014341,           0.0029677,            0.036388,            0.008045,           0.0080178,           0.0080178
                   3,            0.021089,           0.0079866,            0.038847,             0.68741,             0.71152,              0.6433,             0.53931,            0.013715,           0.0030353,            0.019069,             0.00703,             0.00703,             0.00703
                   4,            0.020089,           0.0078133,             0.03055,             0.67088,             0.78971,             0.74277,             0.62571,            0.013222,            0.003044,            0.013305,             0.00703,             0.00703,             0.00703
                   5,            0.018483,           0.0074385,            0.025578,             0.73359,             0.89824,             0.82397,             0.70749,            0.012496,           0.0030861,            0.010479,             0.00604,             0.00604,             0.00604
                   6,            0.017122,            0.007125,            0.022509,             0.83194,             0.90173,             0.89099,             0.78846,            0.010714,            0.002967,           0.0079185,             0.00505,             0.00505,             0.00505
                   7,            0.015921,           0.0068612,            0.019973,             0.86232,              0.9512,             0.90545,             0.80937,            0.009762,            0.003042,           0.0063243,             0.00406,             0.00406,             0.00406
                   8,            0.014697,           0.0065861,            0.018066,             0.88149,             0.95823,             0.91389,             0.81607,           0.0093676,           0.0028245,           0.0056626,             0.00307,             0.00307,             0.00307
                   9,            0.013404,           0.0062988,            0.016674,             0.87576,             0.95979,             0.91156,             0.82906,           0.0086946,            0.002853,           0.0049063,             0.00208,             0.00208,             0.00208
